n,side,entry_dt,entry_px,exit_dt,exit_px,qty,bars,net_pnl,pnl_pct
108,SHORT,Nov 5 06:00,3229.45,Nov 5 07:00,3051.83,13.9342,2,2439.97,5.42
109,SHORT,Nov 14 05:00,3211.60,Nov 17 03:00,3034.96,13.3972,71,2332.98,5.42
110,SHORT,Nov 20 05:00,2898.27,Nov 20 07:00,2970.73,8.6537,3,-647.33,-2.58
111,SHORT,Nov 21 03:00,2861.38,Nov 21 17:00,2704.00,9.3570,15,1451.74,5.42
112,SHORT,Dec 1 11:00,2834.89,Dec 3 00:00,2905.76,11.7315,38,-858.38,-2.58
113,LONG,Dec 8 06:00,3136.68,Dec 8 08:00,3058.26,11.3273,3,-916.32,-2.58
114,LONG,Dec 10 03:00,3364.17,Dec 11 10:00,3280.07,11.0324,32,-957.19,-2.58
115,SHORT,Dec 13 04:00,3064.65,Dec 15 12:00,3141.27,11.2662,57,-891.14,-2.58
116,SHORT,Dec 16 04:00,2935.64,Dec 18 01:00,3009.03,13.3995,46,-1015.27,-2.58
117,LONG,Dec 29 12:00,2979.94,Jan 3 02:00,3143.84,6.7543,110,1090.46,5.42
118,LONG,Jan 14 03:00,3179.67,Jan 14 08:00,3354.55,6.4685,6,1114.31,5.42
119,SHORT,Jan 19 12:00,3204.93,Jan 21 01:00,3028.66,11.5046,38,1999.25,5.42
120,SHORT,Jan 26 05:00,2846.31,Jan 26 18:00,2917.47,8.4247,14,-618.91,-2.58
121,SHORT,Jan 30 02:00,2822.62,Jan 31 04:00,2667.38,11.8552,27,1814.41,5.42
122,SHORT,Feb 1 03:00,2481.19,Feb 1 04:00,2344.72,18.1363,2,2439.97,5.42
123,LONG,Feb 14 03:00,2060.62,Feb 15 22:00,2009.10,13.2069,44,-701.86,-2.58
124,LONG,Mar 3 05:00,2028.73,Mar 3 18:00,1978.01,14.6206,14,-764.96,-2.58
125,LONG,Mar 4 20:00,2074.74,Mar 5 05:00,2188.85,14.9880,10,1684.73,5.42
126,LONG,Mar 13 12:00,2124.28,Mar 14 16:00,2071.17,13.8361,29,-758.01,-2.58
127,LONG,Mar 16 09:00,2183.76,Mar 16 23:00,2303.87,12.5824,15,1488.64,5.42
128,SHORT,Mar 19 02:00,2186.21,Mar 22 10:00,2065.97,15.4691,81,1833.71,5.42
129,SHORT,Mar 26 20:00,2081.39,Mar 27 23:00,1966.91,10.5905,28,1195.21,5.42
130,LONG,Mar 30 15:00,2047.71,Apr 2 03:00,2160.33,14.8978,61,1652.78,5.42
131,LONG,Apr 8 09:00,2219.44,Apr 9 11:00,2163.95,18.5267,27,-1060.46,-2.58
132,LONG,Apr 14 10:00,2367.96,Apr 15 04:00,2308.76,18.1912,19,-1110.93,-2.58
133,LONG,Apr 18 01:00,2445.76,Apr 18 18:00,2384.62,11.7250,18,-739.57,-2.58
134,LONG,May 4 13:00,2374.01,May 4 20:00,2314.66,14.8247,8,-907.66,-2.58
135,LONG,May 6 21:00,2408.99,May 7 00:00,2348.77,10.7321,4,-666.77,-2.58
136,SHORT,May 14 03:00,2249.82,May 15 02:00,2306.07,14.9705,24,-869.31,-2.58
